"President/Founder of Red Cross Club; As the president I organized club meetings and events with other board members such as fundraising, a school blood drive, and a CPR training course."
Founder/President of SAT/ACT Tutoring Club; Tutor; Pairs students of all backgrounds with qualified student tutors for 1 on 1 studying help. Offers a usually expensive program to all students for free.
"Co-founder and President at Medbit Inc; I founded a healthcare technology startup from ground up.Medbit was recently named a top 10 healthcare innovator;UN,iHub,Nailab."
"Co-Founder, Youth For Change Initiative; Focused on empowering young lives in Kisseman. Developed a website for the initiative. Adjudged Spectator initiative of the month (September)."
Current Events Society. Founder and President; A round table discussion of important current event stories.
"Co-Founder and President, SFLS Guinness Committee; Initiated the SFLS version of Guinness World Record system; evaluated all preliminary challenges; ran social media to promote SFLS Guinness activities."
"Initiator, Co-Founder, SFLS Chemistry Workshop; Co-established platform for chemistry-enthusiasts; conducted series of fantastic experiments, e.g. colorful crystal experiment, Iodine clock reaction."
"Founder, SFLS Voice: Poem Recording Club; Gathered 10+ poetry lovers to read in free style; recorded our reading with different roles/functions; aimed to improve oral English reading ability."
"Founder,Lead Trainer,Paradox Physics School,BdPhO; Engendering Physics education, experimentation and research,training students for Bangladesh Physics Olympiad(BdPhO) & assisting in BdPhO events."
"President, Founder, Trainer, Programming Club, SGS; Teaching programming to high school students, engaging them in problem solving and projects, and preparing them for Bangladesh Informatics Olympiads."
"Founder and Head of Transformational Geometry Club; After class discontinued, created place for students to learn, encouraged reluctant students to love math, successfully petitioned to reinstate class."
"Co-founder and shareholder of Teemay Coffee; Founded a 600 meter squared coffee shop generating 2000 USD in daily revenue; Raised approx. 200,000 USD from seed funding; Attended board meetings ."
Founder & President of Asian Pacific Islander Club; Taught the cultures of Asia and the Pacific Islands. Performed in cultural events.
Code Club Founder and President; Created the school's website and educated staff and students of innovations. Taught a hundred students to code.
"Co-founder of World Language Club; I started a world language club with our high school teacher Mrs. Gutierrez. As a club, we learn Spanish, Japanese, Portuguese, and other languages."
Founder of Drama Club; I started a drama club mainly for film making and acting performance. we made video clips that can be played on the weekly assembly.
Founder/President-Tutoring for Immigrant Children; Led a 32-student team to mentor/tutor local lower/middle schoolers (including 51 immigrant children) in various subjects 5 times/week.
Co-Founder/Organizer of Public Health Campaign; Partnered with local hospitals; organized blood drives. Collected 2100 blood units. Trained 400 volunteers to promote blood donation in 3 provinces.
Artist-Founder of Fundraiser for Leukemia Children; 32 personal artworks auctioned in 12 solo/group exhibitions at art museums in Florida/Vietnam. Raised $4300 for leukemia children at hematology inst.
"Founder, Renovearth Bangladesh; I founded an organization to raise awareness of environmental issues, and create solutions better-suited for developing countries."
"Co-founder/co-leader, She's the First club at DHS; Founded & lead campus chapter, 70 members. Sponsors girls' education in low-income countries. Raised $1400. Sponsor 1 girl in Nepal & 1 in Peru."
"Founder and President of the SAI Club; Led $50,000+ fundraising for charities, organized 5,000+ meals for homeless, sponsored 1,200+ sight-restoring surgeries for children."
"Founder, Project Trailblazer in Gender Rights; The project certifies companies with wage equality among different gender peers in similar roles. It will be implemented on testing companies in 2017."
"Founder JaguarMun/Delegate, Model United Nations; Founded my town's first MUN in partnership with the Secretary of Education and local college/ Represented several nations & debated global issues."
"Ecommerce Business: Bigfoot Shaves Co-Founder; Package, ship, sell, and market grooming products and shaving commodities. Grew to a 100,000 dollar / year business with 5-star products on Amazon."
Co- Founder; Educated our peers on using the environment wisely and carried clean up campaigns in our community.Was the club making a difference at school in 2013.
"Co-Founder & Organizer, School Library System; Established first platform for book sharing for students and teachers at my school. Circulated books people wanted to exchange & share."
"Founder/Captain of Varsity High School Soccer Team; Founded school soccer program, it took extensive fundraising and organizing; acted as team captain. Also was member of Yeshiva soccer team in Israel."
"Verano Ensemble, co-founder and section leader; contact & schedule performances at senior homes, lead rehearsals, perform event honoring Congressman Frank Wolf & Paxton Campus fundraising campaign."
"Founder and C.E.O, Kids and Math Organization; Teach underprivileged schools Math using a more practical approach. Raised Ghc1,000 in 2015 to donate 300 Math books to 2 underprivileged schools."
"Co-founder and Organizer - PROTISHRUTI; Planning and organizing regular fund-raising events, I used the funds to ameliorate the lives of people subject to extreme poverty in rural areas."
"Founder, Make it club; We encouraged innovation among students by helping them build simple machines. We once built a solar oven."
"Founder and president; gave students the place and platform to explore their abilities through making sculptures, simple robots, watches,etc."
"Founder, Blood Donation Awareness Outreach; We collaborated with clinics to educate people on blood transfusion and conduct blood donation exercises accross  the region."
Co-founder of the club; My friend and I led our club members to practice the skills of badminton at every weekend.We even held matches at school.
Titus Elementary Mentors Club: President&Founder; Advise elementary students on academic and social issues to support their school life. Plan and organize educational and social programs.
Founder & President/ Academic Mentoring Program; Provided one-to-one tutoring for international students/ Oversaw weekly staff meetings to monitor tutors and to track students' academic progress.
"Founder & Administrator/ Honest Farmers Company; Created and manage a non-profit website for elderly farmers in Chuncheon, Korea to provide a direct online sales channel for their fresh local produce."
Founder of the Learning Unlimited Homework Club; The founding of this club enabled me to render academic assistance to students at the high school and A.P. levels.
"Co-Founder of the L.U. Recycling Program; The creation of the L.U. Recycling Program directly led to the placement of recycling bins around campus and the promotion of ""eco-friendly"" measures.""."
"Founder, President, Designer of Hope Club; We give hope to children in Cambodia by connecting with them through letters, shoeboxes, small gifts, and sometimes personal trips to Cambodia."
"Founder and President of Ping Pong Club; Compete in Utah & at Nationals, ranked in U.S., 1st at Pacific Coast Open Tournament, president & founder of club, organized statewide youth team."
Founder and Creator of Volunteers United; This project aims to teach Syrian women and children Turkish. First class opened in May 2016. The project has been reported on by national newspapers.
"Ayala SAT Club - Founder & President; Founded club to help students prepare for SAT, esp. those who cannot afford expensive SAT prep classes. Promote program and teach math and English."
"Founder of Vera Studio; Started and managed the film club. Developed strategy and promotion plans. Directed 1 short film, 3 documentary episodes, recruited 40 members."
"President/Founder - Science National Honor Society; As president and chapter founder of  Science National Honor Society, I promote STEM careers and recognize faculty of scientific understandi."
"President/Chapter Founder of Red Cross Club; As president of Vegas's very first community based club, I volunteer my time promoting disaster relief, and educating locals on disease prevention."
"Fashion Club, Founder & President; Launch club, recruit new members, coordinate all activities like competing in Vans Custom Culture competition for members to gain design experience."
"Founder and Head of JAZBA; I help poor students of a slum near my home in their daily homework, host small activities for them and raise funds to improve their school conditions."
"President and co-Founder, Melody Club; Organized concerts with club members, and held them at our school or retirement homes for donations."
"Born Ballers founder and head coach.; Trained 22 11-15 year old, under-priveleged children to play basketball and speak English. I designed the jerseys and program, hired 4 coaches."
Editor-in-chief and Founder of Teen Newton; Developed an online science journal that publishes articles on the latest research and innovations; manages writers and provides original content.
"Co-Founder of Railroad Community Service Project; Educated community of people close to railroad in personal finance including budgeting financial expenses, loan sources and the danger of shark loans."
"Co-Founder of 3C English; Redesigned curriculum, prepared teaching methods to cultivate critical thinking skills and active learning in students, piloted with 25 students."
MeeTriam Founder; Organized the first school's open house to provide guidance and mentorship for 9th graders on the admission process to selective high school.
Ambassador and Co-Founder of CREATE; Non-profit that strives to implement art programs at low-income schools around FL and DC through art lessons.
Founder/President Bishop Manogue Italian Club; Newly established club providing Italian language instruction and cultural enrichment opportunities to dozens of Manogue students.
"Co Founder/President of Political Debate Club; Co founded with one other student, this club tries to engage students in organized debate regarding current politics."
Founder and President; AP CAPSTONE Society: I have started a branch of HHS Honors Academy for Seminar and Research students to advise each other in their extended research.
"Director, Founder, Youth Assisting Youth; Founded outside of school to promote youth engagement and to provide opportunities for rural kids.Has over 20 members and reached over 300 kids."
Founder and President of Amnesty International; We raised awareness for a variety of domestic and international human rights issues in our school while also raising money and resources.
Founder; Talking With The World is a program I founded that encourages young students to learn a different language.
"Founder/President, Full Moon Gloves; Built a business that deals in rare baseball gloves. The site, www.fullmoongloves.com, attracts  10,000 monthly visitors and is profitable."
"Founder, Cleveland Academy of Leadership Book Driv; Founded the Cleveland Academy of Leadership (CAL) Book Drive, donated +280 books to CAL, a Title One School with underserved minorities."
"Founder of Harmon Charity Organization; Under my lead, recruiting more than a hundred members, Harmon gathered more than 12,000 USD and improved the lives of 107 elderly."
Co-founder & President of Youth For Change In.; This is a youth group that promotes youth leadership through community service and advocacy.
Co-founder/Vice Director of School's TV station; Co-directed video projects and bilingual broadcast on all school's grand festivals and events since Grade 7; expanded the club from 6 to 120 members.
Founder of Grassroot International Organization; Founded the 1st international student-based organization with an Indian girl; led 15 foreign students to do voluntary teaching in rural Shaoguan.
"Founder/Manager of a Wechat Sharing Platform; Founded the 1st wechat platform(most frequently-used social-networking app in China) for school's 112 clubs, including latest news & everyday reports."
Hamilton Politics Club: Founder and President; Discuss current politics and events through a political scope while bringing people together from across the political spectrum.
"Founder, Charity eSports League; Founded an eSports organization to promote competitive gaming in the Middle East and benefit the Red Crescent Society."
"Co-founder of ""Chemistry & Life Club"" (5-star)""; Membership 94, we organized workshops on lab safety and biweekly chemistry experiment shows to kindle students' interest in science."
"Co-founder of ""Otaku Chem Lab"" Channel on Bilibili""; Create videos of fun chemistry experiments and upload them to popular video sites Bilibili.com, featured 6 times on front page with over 73k views."
"Founder of a math club called ""Match your teacher""""; I founded a club to do review sessions after classes. Also, we sometimes provided interesting math problems to expand horizon. ."
"Founder of a wood cut display in our school; Being a wood cut lover myself, I invited other wood cut lovers to bring their works and had a display to publicize wood cut to more students."
Founder and President. Billionaire Project; Campaign (successfully) to switch school's wooden chopsticks to biodegradable flame grass chopsticks; raise organic lettuce&sell at farmer's market.
"Founder of Jugnoo Foundation; My work had me featured on BBCs list of Top 100 Women of 2014, Jugnoo provides solutions to harmful impacts of climate change on women in Pakistan."
"Co-Founder, Support for Education in Pakistan; Founded a supporting group for children's education in Pakistan; organized fundraising project every summer; collected $1000 each year for donation."
Co-founder of Chobernard; Recruit and manage six members: develop an online platform to generate unbiased user rating for original music; create Indiegogo crowd funding plan.
Co-founder of Our Herstory; Research on and compose the modern history of Chinese Feminism Wave with college undergrads; manage high school members to compile information.
Founder-Innovation For Ghana's Next Generation; Provide support and aid to underprivileged children. In 2 years we have donated GHC3000 and books to orphanages and juvenile correction centers.
"Founder, Writer, and Editor of ""MMT HBT News""""; ""MMT HBT News"" newsletter chronicles the life-changing events occurring at the Methadone Clinic in Vietnam's Hai Ba Trung district.""."
President and Founder of AMVNX Student Council; Formed an organization to encourage cross-cultural education amongst Vietnamese and American students.
"Founder and Lead Vocalist- School Choir Group; Founded the senior school choir; sang at various school events (solo and duet), represented the school at Epicenter, Gurgaon on Independence Day."
Co-Head and Founder- Enviro Change- NGO; Planned and initiated the project 'BirdBath' wherein installed birdbaths using recycled waste; raised funds by selling cookies.
"DECA Co-Founder/President; Founded the first DECA club in Kuwait and first business club at ASK, grew to 45 members, received 2 medals and a perfect score (A&A div.)."
"Fashion Club, Co-president and Founder; Expose students to fashion, study upcoming fashion trends, organized clothing drive for Dress for Success, created costumes for large talent show."
"Co-founder&Secretary, MD International Youth Forum; Marketed the event & hosted 300+ participants; arranged detailed forums; recruited 15 staff members; provided internships for freshmen."
"Founder & Secretary, Campus Volunteer Center; Recruited 300+ members; promoted community services inside campus; provided outside-campus community services  opportunities to members;."
Founder of the group; Formed to help build a strong foundation in Mathematics & Science for High School Freshmen in my community.
Founder & Editor in Chief/Newspaper Club; Led the team and published the school newspaper on a monthly basis. Coordinated the SPPS Spelling Bee Contests. Awarded the Best Club of the Year.
"Founder, president, main editor of HOPE magazine; I created the HOPE magazine. It stands for Honest, Optimistic, Passionate and Enlightened. I led a team of 12 students to publish it every 2 months."
"Co-founder  - Save Rhino Campaign; Organized a walkathon to prevent poaching of one-horned rhinos found in Kaziranga National Park, Assam. It was attended by 5000 people and Rotary Club."
Co-founder - Gear; Startup responsible for Gear OS and Gear Rista projects. We obtained the prize for best project and business plan of Paraguay Emprende's contest.
"Founder member - Youth Council Paraguay; I supported community service activities and conferences on topics like youth, environment, education, and leadership."
"Key Club Founder/President; I wrote the charter to make Key Club official at my high school. I have since served for two years as President, coordinating community service."
"Vice-President/Founder, Fanlyc; Fanlyc is an organization that brings emotional and psychological support to kids with cancer."
"Leader/Founder, Prison Project; Collect funds to buy hygiene materials for the inmates of a local prison. We visit the prison and do activities with the prisoners."
"Co-President and Co-founder, Amnesty International; Challenged the school board's restrictions on student-initiated clubs, volunteer and raise money for local charities, and spread political awareness."
"Founder of various blogs; Created blogs condensing entrepreneurial books, posting political and business internship opportunities for other students."
Co-President and Co-founder Model United Nations; Established a political club to provide opportunities to students in a largely STEM based school and have been competing and training successfully.
Founder of a political campaign; The campaign's objective is to create an wildlife bridge to current roads to create safer enviornment both for drivers and wildlife.
Founder and CEO of a business; The business is currently in sketch stage but aims at lowering ticket prices for flights while increasing the profit margins for airline companies.
"STEM Club Founder and President; Led a 1st year team to the semi-finals of an international competition: Conrad Spirit of Innovation. Started with 5 people, which grew to 30 in a year."
Founder; Founder of a Medical Tourism Agency and handled communication & management.
Founder of WeChat Official Account MagnifyingWorld; Started by my own; wrote about the local and global affairs once a month; ten bilingual articles received over 200 clicks and 100 followers.
"Co-Founder of Korean Culture Club; Face-timed Korean Penpals; learned Hangul, the written language; celebrated Chuseok, the Korean Thanksgiving."
"Executive Organizer/Founder.MuslimAwarenessFairATL; Annual Muslim Awareness Fair, sparks a dialogue with the ""unknown"" to battle Islamophobia in my Atlanta community. Hosted 150 people.""."
"TEDx IEL Club Founder, TEDx Youth@IEL Organizer; I was the organizer of the first TEDx conference in our high school, in the following year, I continued as an advisor."
"Founder/President of i-transparent.org; Developed water collection and testing kit, distributed to hundreds of collection sites across China. Tested heavy metal contamination of tap water."
President and Founder of Habitat for Humanity Club; H4H raises awareness and funds for the necessity of affordable and stable housing in order to promote prosperity in communities around the world.
"Co-founder,Biology Club; Organized a club to discuss biology articles and other topics in the science; collected and cataloged the leaf samples on the mountain near our school."
"Founder,The Super Science Club; Organized discussions of supernatural science cases like Bunshinsaba and out-of-body experiences; used bio, phys or chem to explain those phenomena."
"Co-founder/VP of Young Libertarians Club at HS; Weekly meetings held to discuss Libertarian political ideals, current events, and solutions to current national issues."
"co-founder of Alpine 4 Quartet; With 3 of my friends, I helped form Alpine 4 Quartet which played at both private and public functions- some paid and other donated time."
Co-founder of high school Chamber Orchestra; My school did not have a chamber orchestra so I worked with my teacher to create a schedule and pick music. I was one of 2 students that ran auditions.
Origami Club Founder and President; I was the first to develop this club at my school. I instructed 13 students about intricate masterpieces made from a Korean paper called hanji.
Youth Group Praise Team Founder; I am the founder and president of the youth group praise team at the Korean Presbyterian Church. I select the pieces and organize the rehearsals.
"Co-Founder of ECA Union at SCIE; Led a group of 11 people to search for possible sponsors; raised over 20,000 RMB to fund 40 student-led clubs at SCIE."
Founder of Outdoor Club at SCIE; Enthusiastically organized outdoor activities such as cycling and hiking; negotiated with sponsors about possible cooperation.
"Founder, Embroidery Club; A gathering of art students for informal embroidery and learning of skills. I was the one who suggested the club be created."
"Founder, NFLS-Xianlin Swimming Club; Came 2nd place in the 19th  Swimming Competition of Nanjing youth group; Provided training for new members."
"Leadership Club- Founder, President, Secretary; Develop plan to address an unserved community need, unify efforts of clubs at school events to promote school spirit, encourage leadership in students."
Founder of School Badminton Team; Teach badminton activities.
"Investment Club, Founder; Initiated and organized new club.  Procure speakers; compete in Economics Wisconsin competition; discuss investing strategies."
"Tome Traders, Co-founder; Collected >2000 books; donated to Boys & Girls Clubs in LV to promote joy of reading; created a commercial; won Yale Day Service Award 2016."
"Dance (9-10; Jr. Captain-11); Founder, Coed; Cougar Spirit Team (Dance, Cheer & Colorguard); 1st place - LV; 2x Most Committed Dancer Award; Started Coed team 12th; Showcased 1st Bollywood dance."
President and Founder of Young Democrats; Brought charter to school; initiated CHS's first debate with Teenage Republicans; Rep. CHS for greater political activism at Sun Youth Forum in LV.
"Founder and President, Junior States of America; 6 month effort to obtain charter and sponsor, recruited officers and members, JSA helps students become active, informed citizens (jsa.org)."
Founder of Symphony World - Online Platform; Platform to help upcoming musicians build a credible virtual profile & an audience.150 musicians featured; 2300 followers in first month of existence.
Founder/Baquare;online marketplace;bakery products; Developing a platform; revolutionizing the industry by encouraging locally estd. high-segment brands to retail online.
"Founder, CEO, CFO; Co-Founded and established Search Engine Optimization company and developed business plan along with acquiring a stable client base."
"Co-founder, Ceiling Buddies Club; Painted ceiling tiles for Boston Children's Hospital (9th), launched WHS club (11th), launched new chapters at 3 other local high schools."
"Founder of Math Club; I establish the club, recruit members, prepare problem sets and lectures, ask for funding, buy food, petition for competition opportunities."
"Captain/ Coach/ Co-founder/ Starting Point Guard; Organized practices, coached innovative concepts, communicated with league officials, holder of single-game scoring (30) and blocks records (4)."
"Co-founder of student rap group, The Tic Tac Squad; Released three mixtapes + 1 R&B EP. Over 60 total songs composed. Received collaboration offer from LA rapper Benny Troung. 400+ plays on Soundcloud."
Founder of H.E.A.R.T.S.; This is a non-profit org. that helps disabled children express creativity through art. My school nominated me for the Silver Knight Award.
"Co-Founder, Greatest Generation Karaoke Company; Share the joy of music through karaoke sing-alongs with the elderly in assisted living facilities, senior centers, and nursing homes."
"Everlasting Hair Co, Founder; Created a business to sell hair extensions, package orders, keep website updated, order products, buy and apply shipping labels for orders."
"Founder, Buho App; Developed an app to prevent sexual assault and create awareness on college campuses in partnership with Children's Hospital Boston."
"Founder/Volunteer, The Fairy Godmother Project; Founded local chapter of this national organization; collect prom dresses and accessories for young women who are unable to purchase their own dresses."
"Founder of Psychology Club; Plan club mission and strategy, lead weekly meetings and Harkness, organize forum with Principal as a panelist, social experiments, and lab trips."
"Founder/Lead Interviewer, Humans of Plano Senior; Interviewing students and faculty of Plano Senior, giving their stories a voice. Managing social media with over 500 followers."
Founder and President of Pure Heart Foundation Inc; Fundraise and donate books to rural Chinese children; Pure Heart Project every summer aims to give the children a transformative learning experience.
"Founder&President of the Ocean Society, RDFZ; Led 150+members to hold forums on marine sci-tech & environment; initiated ocean protection events; Founded Beijing High School Ocean Society Alliance."
"Poverty Slam Service Project (Founder); Founded and run foundation that raises money for soup kitchens through sponsored walking. Raised over $17,000. Run website and newsletter."
"Healthy Jar: Founder; Manage financial datas, cook for healthy snacks, organize trips to villages to support underprivileged families with hygiene kits."
"Bundits: Founder; Construct business plan, caters lunch, manage eye-catching social media account, donate profit to places with no access to clean water."
"Belajar Bersama: Founder; Teach underprivileged kids English, importance of literacy in foreign language, recruit members from other culture for an intercultural perspective."
"President & Founder of the JDA Finance Club; Responsible for organizing the club's weekly meetings, speaker series, competitions, and research objectives. Led club to investment competition win."
"President & Founder of the JDA Sports Club; There are no sports teams at my school, so I created this club to formalize athletics; members set personal goals and commit to a practice plan."
"The Co-Founder of House Chef, a B2B2C Startup.; Deducing price to be the barrier between people and gourmet food, we delivered signature dish ingredients and recipes to our budding house-chefs."
I founded a writing club and lead weekly meetings.; The club facilitated yearly poetry slams at our high school. The shows also inculded young poets from our local youth shelter.
"Westwood HS National Sci. Bowl Club Founder, Pres.; Started high school team after winning 9th in nation in 8th grade; Balanced interests of the school and students; Led team to regional quarterfinals."
Co-President & Co-Founder - AHS Law & Society Club; Co-founded Law & Society Club. Invited guest Alpharetta police explorer to speak for members on recent events; hosted discussions and debates.
Answer to Cancer - Co-Founder and President; Implement fundraisers for cancer organizations; raise awareness through volunteering; raised over $800 dollars for the Ulman Cancer Foundation.
"Founder/President of Investigative Medicine Club; Worked w/ Palo Alto City Council, scientists, and other activists to address local groundwater contamination; shipped medical supplies to Burkina Faso."
Founder- Native American Disease Awareness Program; Founded an organization to teach disease diagnostic procedures to Native American youth in the Shinnecock Tribe.
"Women in STEM; President and founder; Bring in guest speakers, raise funds for Women's Global Education Project, hold STEM activities for elementary and middle school girls."
"Founder/President - Junior Statesmen of America; Debate, public speaking, current events, int'l relations program at Georgetown, went to Rep Nat'l Conv; created chapter constitution, moderator."
"Founder/president, China Care Club, LCSS; Various Chinese cultural related activies in high school: offering free Chinese lessons, introducing Chinese culture, and hosting Chinese food sales."
Co-Founder; Letter to Soldiers Club.
"President and Co-Founder of Global Awareness Club; I started and ran a club at my school that focuses on political debate, current events and organizing community service projects."
Founder 'A Tale of Two Countries'; Social media publicity page aimed at reducing tension and hostility between Pakistani and Indian citizens.
Co-Founder/ PR Head of MSJ Political Science Club; The club helps expose students to politics. Personally invited local politicians to visit & hold speaking sessions. Club membership currently at 200.
Founder of Clash & Crash; Founded this media project and recruited students; interviewed people about cultural conflicts and diversity; edited and posted videos.
"Founder, Tips Of Tech; I ran a technology blog with over a thousand daily users."
"Co-head/co-founder of Sharing to Learn club; Fundraising for the education of children in a village in western South Africa, leading club meetings."
"Founder/ president,  AMC club; In order to challenge higher level of Mathematics and encourage students to be familiar with Mathematics,I founded AMC club.I placed 2nd in my school."
"Co-founder and admin, Facebook group; Being interested in biology,I co-founded Facebook group. More than 2,000 members have joined to share knowledge and discuss about biology."
"Co-founder/ vice-president, Book Club; I co-founded with my classmates to be familiar with reading books. We read one book and discussed about it on every Saturday of each week."
"Co-Founder & Writer, School's Blog - Blog O Ams; I write about issues relevant to the students and faculty of our schools, trying to make subjects as dry as minor curriculum changes engaging and fun."
"Founder and Writer of ""Ams la ai"" Project""; I asked each of the students at my school to submit a story that represented who they are, together we edited them, and posted them on a blog."
Investments Club- President and founder; Club to explore aspects of investments and stock market.
"Founder, A Nest for Young Writers; Formed and operated a small company to help young writers to plan and publish their work, ensuring that they are entitled to fair compensation."
"Founder, Young Writers' Association; Have helped to identify and address issues facing young writers regarding their rights and earnings. Collaborated with adult writers' associations."
"President and Founder of Girl Code; Girl Code was created to introduce more girls at my high school to coding in Scratch, Java and Python."
"Humans of Scarsdale Founder; Similar to Humans of New York, I listened to people's stories in my neighborhood and would post them on our FB public page for the community to enjoy."
"Founder, Got Science?; Founded the school's first Science Club, planned and successfully ran an inter-school science fest - for the first time in our school."
"Founder and Leader, Happy Walls inc.; A small group and I created 'Happy Walls,' non-profit dedicated to painting murals to foster a welcoming, cheerful learning enviroment for all."
"Co-Founder & Captain; Organized matches against other schools; trained & strengthened members through weight lifting, push ups, etc."
"Northview Masti Founder; Invited to perform at cultural events, weddings, and universities."
Northview MD Junior Founder and President; MD Junior's goal is to foster and encourage the growth of young aspiring doctors through selfless service.
"Founder & Co-President, Southlake Cares; Founded independent organization to advance values in community & service; Spearheaded 8 events in partnership w/ local establishments."
"Founder, Dragon Tutors; Founded tutoring company aimed at furthering elementary to high school education; Developed recruiting program; Hired 4 students; Devised curriculum."
Founder of Fusion Music Club; We wrote music using both Indian classical and Western instruments and won 1st place in a competition against 10 other clubs from different schools.
"Founder and Head of Politics Club; I founded the Politics Club to empower the girls at my school, and build their confidence and knowledge within the international political sphere."
"Owner & Founder of ""Believe and Achieve"" Tutoring""; Started a service to improve education in my locality where I tutor elementary/middle school students in subjects of math, reading, Spanish, etc."
"Co-Founder and Teacher / Roseland Library Art Club; Recruited teaching staff, designed curriculum, taught younger children fundamental art skills to establish love for and improve at the craft."
"Co-founder/Co-President Project RISHI chapter; In partnership with UCSD, we provide education and financial resources to the leprosy colony Anandwan."
"Founder of Facepaint for Change; Raised and donated over $1,000 through facepainting at local events for Xilicun elementary school in rural China. This activity means a lot to me."
Founder and President of Kids for Wish Kids; Started this club to fundraise for the Make-A-Wish Foundation and help a five year old with cancer go to Disney World. Oversee over 50 active members.
"Founder and Editor, ChemVSLife (1k+ followers); Started Wechat official account to discuss chemical elements and new energy; shared stories of local people to promote green awareness."
"MAPS, Team Lead, co-founder/business development; Created program/society in order to help local youth exit a life of bad habits, developed website, interacted with local political and businessfigures."
Founder; A friend and I decided to start our majorette group. We perform at basketball games and practice year round.
"Founder and President, Mathematical Modeling Team; HiMCM Award. Founded club to train peers (15) on math modeling. Invited Stats & CS faculty, RPI Ops Research & Penn Comp Analysis professors."
Makeup Club- Founder and President; School club for makeup enthusiasts and makeup .
"Founder and Editor-in-Chief of school newspaper; Developed school pride by giving students an opportunity to share the school's experiential education with parents, current and prospective students."
"Save Our Soles, Co-Founder; Multi-school, used shoe/book charity for children of impoverished Philippine island (Siargao). Since 2014, 1,100+ shoes and 300+ books have been sent."
"Co-Founder, Pangia; Drew on interdisciplinary academic interests to build data analytics company behind platform that integrated quantitative and qualitative data."
"Founder, President, WeyScience (science team); I founded a science club at my middle school. We will hold a science competition near the end of the year."
Founder and President of Equality Club; I founded the ABC Equality Club. Different activities surrounding the promotion of gender equality were organized.
"President/Founder, Club Strive; Funds for children in need of prosthetics, partnered with global non-profits (Innovacion Orthopadica), fundraisers at farmer's markets with DIY goods."
"Founder/ Do It Yourself Club (DIY); The club helps students relieve stress by participating in fun, do-it-yourself, art-related projects."
Ciudad Santa Maria (CISAMA) Soccer Club founder; Founded soccer club to teach underprivileged children to play soccer and give them the opportunity to learn a team sport in a safe environment.
"Founder, Winsor New Student Integration Initiative; Created a support group for new students; made their transition/integration process less difficult."
"Founder and President, Global Health Club; Meet to discuss global health issues, present concerns and information at school assemblies."
"President / Founder; Music Volunteer Service in Korea Dong-A Hospital, Music Volunteer Service in White Oak Nursing Home in Cumming Georgia, Played Piano in Graduation Day."
"Founder, Japanese Club, Chengdu Foreign Lan School; Teach basic Japanese language to help students appreciate Japanese drama and cartoons."
Oyster Gardening; Founder & President; The program is devoted to rehabillitating the oyster population in the Chespeake Bay. I was recognized by the county for environmental activism.
"Founder, Project Thea- Entrepreneur Support Tool; Conducted thorough market research to create online assessment tool that helps local entrepreneurs analyze their business development efforts."
"President / Founder; Founded the club, made and designed robotics homepage, and raised $3000 through fundraisers, led the club to build unique robots without given manual."
Environmental Club President / Founder; Made awareness-creating pamphlets about important environmental issues; published newspapers monthly and created recycling system.
"Founder, local Jewish teen group; Planned, coordinated activities for 15 youth, including social, educational, regional events."
Founder/President of Research Club; Working on a project called 'Effect of Nigella sativa Seeds on Lipid Homeostasis in the Human Body'.
