commonappid,actnum,hondet,commonactid
14014951,4,"Founder of UU Connect (Uvira-Uijongbu Connect); Pen-pal program that strives to teach English to 20 secondary students of Uvira, DR Congo; volunteers from four different countries.",140149514
14052855,1,"Co-Founder, Co-President/Girls Who Code Club; Established first coding education club in Syosset High School to promote girls in computer science; developed codes for drones and Arduinos.",140528551
14052855,3,"Founder, President/Murang Music; Founded non-profit organization promoting power of music; hosted biannual fundraiser concerts raising $2000 per year and summer concert series.",140528553
14065482,3,"Founder of Kerhadov; Kerhadov is an independent student organization dedicated to those who are eager to discuss philosophy, history, politics, culture and current events.",140654823
14081179,2,President and Founder of Rho Kappa; I founded the Social Studies Honors society at my school to recognize students who commit to academic excellence in social studies.,140811792
14090041,1,"Founder of the Entrepreneurship Club; Taught entrepreneurship concepts to members, such as the Business Model Canvas (BMC), hypothesis testing and experimenting in business.",140900411
14090048,2,"Co-President for Medical Care club; I founded this club with others peers who had medical backgrounds. With doctors, we provided good medical care for those living in remote places.",140900482
14090117,1,"Organizer, participant of various charity events.; I'm most dedicated to Bethlehem Bakery that my mother and I founded. It aims to help underprivileged kids develop interests in non-academic fields.",140901171
14090192,2,"Founder and host of Community Concert; Hosted the concert for consecutive years, responsible for catering, organizing activities, delegating jobs to volunteers.",140901922
14095863,1,"Founder/ chairman; created awareness on ways of conserving the environment, planted trees different parts of the country, won United Nations environment programmer prize.",140958631
14096739,1,Physics Club Cofounder & Research Committee Head; The Physics Club was founded to share the beauty of Physics & Astrophysics with the public in a simple spectacular way.,140967391
14096927,1,"President/Founder of Red Cross Club; As the president I organized club meetings and events with other board members such as fundraising, a school blood drive, and a CPR training course.",140969271
14101723,5,Founder/President of SAT/ACT Tutoring Club; Tutor; Pairs students of all backgrounds with qualified student tutors for 1 on 1 studying help. Offers a usually expensive program to all students for free.,141017235
14108691,3,"Co-founder and President at Medbit Inc; I founded a healthcare technology startup from ground up.Medbit was recently named a top 10 healthcare innovator;UN,iHub,Nailab.",141086913
14130503,2,"Co-Founder, Youth For Change Initiative; Focused on empowering young lives in Kisseman. Developed a website for the initiative. Adjudged Spectator initiative of the month (September).",141305032
14130805,8,Current Events Society. Founder and President; A round table discussion of important current event stories.,141308058
14131546,5,"Co-Founder and President, SFLS Guinness Committee; Initiated the SFLS version of Guinness World Record system; evaluated all preliminary challenges; ran social media to promote SFLS Guinness activities.",141315465
14131546,6,"Initiator, Co-Founder, SFLS Chemistry Workshop; Co-established platform for chemistry-enthusiasts; conducted series of fantastic experiments, e.g. colorful crystal experiment, Iodine clock reaction.",141315466
14131546,7,"Founder, SFLS Voice: Poem Recording Club; Gathered 10+ poetry lovers to read in free style; recorded our reading with different roles/functions; aimed to improve oral English reading ability.",141315467
14131572,2,"Founder,Lead Trainer,Paradox Physics School,BdPhO; Engendering Physics education, experimentation and research,training students for Bangladesh Physics Olympiad(BdPhO) & assisting in BdPhO events.",141315722
14131572,3,"President, Founder, Trainer, Programming Club, SGS; Teaching programming to high school students, engaging them in problem solving and projects, and preparing them for Bangladesh Informatics Olympiads.",141315723
14134194,5,"Founder and Head of Transformational Geometry Club; After class discontinued, created place for students to learn, encouraged reluctant students to love math, successfully petitioned to reinstate class.",141341945
14158848,1,"Co-founder and shareholder of Teemay Coffee; Founded a 600 meter squared coffee shop generating 2000 USD in daily revenue; Raised approx. 200,000 USD from seed funding; Attended board meetings .",141588481
14166659,4,"Asian American Pacific Islander Group, Cohead (12); Affinity group; biweekly discussions on issues involving the AAPI community; founding member.",141666594
14172791,4,Founder & President of Asian Pacific Islander Club; Taught the cultures of Asia and the Pacific Islands. Performed in cultural events.,141727914
14172791,5,Code Club Founder and President; Created the school's website and educated staff and students of innovations. Taught a hundred students to code.,141727915
14175558,8,"Co-founder of World Language Club; I started a world language club with our high school teacher Mrs. Gutierrez. As a club, we learn Spanish, Japanese, Portuguese, and other languages.",141755588
14175558,9,Founder of Drama Club; I started a drama club mainly for film making and acting performance. we made video clips that can be played on the weekly assembly.,141755589
14203335,3,"President of Mu Alpha Theta (145-member club); Founded fundraising project ""Math-a-Thon."" Oversaw weekly practices/tutoring requirements. Won top 4 (pre)calculus prizes in regional/state contests."".",142033353
14203335,4,Founder/President-Tutoring for Immigrant Children; Led a 32-student team to mentor/tutor local lower/middle schoolers (including 51 immigrant children) in various subjects 5 times/week.,142033354
14203335,6,Co-Founder/Organizer of Public Health Campaign; Partnered with local hospitals; organized blood drives. Collected 2100 blood units. Trained 400 volunteers to promote blood donation in 3 provinces.,142033356
14203335,7,Artist-Founder of Fundraiser for Leukemia Children; 32 personal artworks auctioned in 12 solo/group exhibitions at art museums in Florida/Vietnam. Raised $4300 for leukemia children at hematology inst.,142033357
14216294,4,"Founder, Renovearth Bangladesh; I founded an organization to raise awareness of environmental issues, and create solutions better-suited for developing countries.",142162944
14217774,1,"Co-founder/co-leader, She's the First club at DHS; Founded & lead campus chapter, 70 members. Sponsors girls' education in low-income countries. Raised $1400. Sponsor 1 girl in Nepal & 1 in Peru.",142177741
14236741,1,"Founder and President of the SAI Club; Led $50,000+ fundraising for charities, organized 5,000+ meals for homeless, sponsored 1,200+ sight-restoring surgeries for children.",142367411
14252320,1,"Founder, Project Trailblazer in Gender Rights; The project certifies companies with wage equality among different gender peers in similar roles. It will be implemented on testing companies in 2017.",142523201
14252320,6,"Founder JaguarMun/Delegate, Model United Nations; Founded my town's first MUN in partnership with the Secretary of Education and local college/ Represented several nations & debated global issues.",142523206
14273700,5,Opportunities Lab - Vicepresident; Founded an organization which helps high school students find research internships in Romanian Universities.,142737005
14273700,7,Founding Member - Interact Club Ploiesti; Organized a charity show to raise funds for families with low income and a book donations gathering for local institutions.,142737007
14281718,1,"Ecommerce Business: Bigfoot Shaves Co-Founder; Package, ship, sell, and market grooming products and shaving commodities. Grew to a 100,000 dollar / year business with 5-star products on Amazon.",142817181
14287376,5,Co- Founder; Educated our peers on using the environment wisely and carried clean up campaigns in our community.Was the club making a difference at school in 2013.,142873765
14298533,7,"Co-Founder & Organizer, School Library System; Established first platform for book sharing for students and teachers at my school. Circulated books people wanted to exchange & share.",142985337
14305925,7,Founding Member of K.R.U Rap Group; Held concerts and rapped favorite songs to raise funds for Starkey Hearing Foundation.,143059257
14312724,1,"Founder/Captain of Varsity High School Soccer Team; Founded school soccer program, it took extensive fundraising and organizing; acted as team captain. Also was member of Yeshiva soccer team in Israel.",143127241
14314474,2,"Verano Ensemble, co-founder and section leader; contact & schedule performances at senior homes, lead rehearsals, perform event honoring Congressman Frank Wolf & Paxton Campus fundraising campaign.",143144742
14317929,1,"Founder and C.E.O, Kids and Math Organization; Teach underprivileged schools Math using a more practical approach. Raised Ghc1,000 in 2015 to donate 300 Math books to 2 underprivileged schools.",143179291
14321803,2,"Co-founder and Organizer - PROTISHRUTI; Planning and organizing regular fund-raising events, I used the funds to ameliorate the lives of people subject to extreme poverty in rural areas.",143218032
14341212,2,"Founder and president; gave students the place and platform to explore their abilities through making sculptures, simple robots, watches,etc.",143412122
14341212,8,"Founder, Blood Donation Awareness Outreach; We collaborated with clinics to educate people on blood transfusion and conduct blood donation exercises accross  the region.",143412128
14346477,7,Co-founder of the club; My friend and I led our club members to practice the skills of badminton at every weekend.We even held matches at school.,143464777
14356178,1,Titus Elementary Mentors Club: President&Founder; Advise elementary students on academic and social issues to support their school life. Plan and organize educational and social programs.,143561781
14362056,1,Founder & President/ Academic Mentoring Program; Provided one-to-one tutoring for international students/ Oversaw weekly staff meetings to monitor tutors and to track students' academic progress.,143620561
14362056,2,"Founder & Administrator/ Honest Farmers Company; Created and manage a non-profit website for elderly farmers in Chuncheon, Korea to provide a direct online sales channel for their fresh local produce.",143620562
14364483,2,Founder of the Learning Unlimited Homework Club; The founding of this club enabled me to render academic assistance to students at the high school and A.P. levels.,143644832
14364483,6,"Co-Founder of the L.U. Recycling Program; The creation of the L.U. Recycling Program directly led to the placement of recycling bins around campus and the promotion of ""eco-friendly"" measures."".",143644836
14374429,1,"Founder, President, Designer of Hope Club; We give hope to children in Cambodia by connecting with them through letters, shoeboxes, small gifts, and sometimes personal trips to Cambodia.",143744291
14378771,6,"Founder and President of Ping Pong Club; Compete in Utah & at Nationals, ranked in U.S., 1st at Pacific Coast Open Tournament, president & founder of club, organized statewide youth team.",143787716
14380867,1,Founder and Creator of Volunteers United; This project aims to teach Syrian women and children Turkish. First class opened in May 2016. The project has been reported on by national newspapers.,143808671
14398563,2,"Ayala SAT Club - Founder & President; Founded club to help students prepare for SAT, esp. those who cannot afford expensive SAT prep classes. Promote program and teach math and English.",143985632
14418072,1,"Founder of Vera Studio; Started and managed the film club. Developed strategy and promotion plans. Directed 1 short film, 3 documentary episodes, recruited 40 members.",144180721
14435239,2,"President/Founder - Science National Honor Society; As president and chapter founder of  Science National Honor Society, I promote STEM careers and recognize faculty of scientific understandi.",144352392
14435239,7,"President/Chapter Founder of Red Cross Club; As president of Vegas's very first community based club, I volunteer my time promoting disaster relief, and educating locals on disease prevention.",144352397
14435239,8,"Founding Member/Exec. Sales Rep. of Give Me S'more; As the executive sales representative of Give Me S'more, I demonstrate an enterprising mentality and help to promote our company's product.",144352398
14444444,1,"Fashion Club, Founder & President; Launch club, recruit new members, coordinate all activities like competing in Vans Custom Culture competition for members to gain design experience.",144444441
14446458,5,"Founder and Head of JAZBA; I help poor students of a slum near my home in their daily homework, host small activities for them and raise funds to improve their school conditions.",144464585
14452742,7,"President and co-Founder, Melody Club; Organized concerts with club members, and held them at our school or retirement homes for donations.",144527427
14472259,1,"Born Ballers founder and head coach.; Trained 22 11-15 year old, under-priveleged children to play basketball and speak English. I designed the jerseys and program, hired 4 coaches.",144722591
14479273,1,"Mu Alpha Theta Founding Member; Tournaments, Competitions, Math Puzzles.",144792731
14484511,3,"Drumline, co-captain and founding member; Member of the Trinity Prep drumline, snare drum.",144845113
14485020,1,Editor-in-chief and Founder of Teen Newton; Developed an online science journal that publishes articles on the latest research and innovations; manages writers and provides original content.,144850201
14485270,2,"Co-Founder of Railroad Community Service Project; Educated community of people close to railroad in personal finance including budgeting financial expenses, loan sources and the danger of shark loans.",144852702
14485270,3,"Co-Founder of 3C English; Redesigned curriculum, prepared teaching methods to cultivate critical thinking skills and active learning in students, piloted with 25 students.",144852703
14485270,5,MeeTriam Founder; Organized the first school's open house to provide guidance and mentorship for 9th graders on the admission process to selective high school.,144852705
14485767,7,Ambassador and Co-Founder of CREATE; Non-profit that strives to implement art programs at low-income schools around FL and DC through art lessons.,144857677
14490803,3,Founder/President Bishop Manogue Italian Club; Newly established club providing Italian language instruction and cultural enrichment opportunities to dozens of Manogue students.,144908033
14493467,1,"Co Founder/President of Political Debate Club; Co founded with one other student, this club tries to engage students in organized debate regarding current politics.",144934671
14493666,5,Founder and President; AP CAPSTONE Society: I have started a branch of HHS Honors Academy for Seminar and Research students to advise each other in their extended research.,144936665
14494882,1,"Director, Founder, Youth Assisting Youth; Founded outside of school to promote youth engagement and to provide opportunities for rural kids.Has over 20 members and reached over 300 kids.",144948821
14494882,6,Founder and President of Amnesty International; We raised awareness for a variety of domestic and international human rights issues in our school while also raising money and resources.,144948826
14500345,4,Founder; Talking With The World is a program I founded that encourages young students to learn a different language.,145003454
14504725,4,"Founder/President, Full Moon Gloves; Built a business that deals in rare baseball gloves. The site, www.fullmoongloves.com, attracts  10,000 monthly visitors and is profitable.",145047254
14520858,1,"Founder, Cleveland Academy of Leadership Book Driv; Founded the Cleveland Academy of Leadership (CAL) Book Drive, donated +280 books to CAL, a Title One School with underserved minorities.",145208581
14525056,1,"Founder of Harmon Charity Organization; Under my lead, recruiting more than a hundred members, Harmon gathered more than 12,000 USD and improved the lives of 107 elderly.",145250561
14528953,4,Co-founder & President of Youth For Change In.; This is a youth group that promotes youth leadership through community service and advocacy.,145289534
14538262,4,Co-founder/Vice Director of School's TV station; Co-directed video projects and bilingual broadcast on all school's grand festivals and events since Grade 7; expanded the club from 6 to 120 members.,145382624
14538262,5,Founder of Grassroot International Organization; Founded the 1st international student-based organization with an Indian girl; led 15 foreign students to do voluntary teaching in rural Shaoguan.,145382625
14538262,7,"Founder/Manager of a Wechat Sharing Platform; Founded the 1st wechat platform(most frequently-used social-networking app in China) for school's 112 clubs, including latest news & everyday reports.",145382627
14554495,3,Hamilton Politics Club: Founder and President; Discuss current politics and events through a political scope while bringing people together from across the political spectrum.,145544953
14556840,1,"Founder, Charity eSports League; Founded an eSports organization to promote competitive gaming in the Middle East and benefit the Red Crescent Society.",145568401
14563394,8,Entrepreneurship Club Co-VP; Co-founded Entrepreneurship Club through MIT Launch to teach students develop their entrepreneurial spirit and start their own companies.,145633948
14610983,3,"Co-founder of ""Chemistry & Life Club"" (5-star)""; Membership 94, we organized workshops on lab safety and biweekly chemistry experiment shows to kindle students' interest in science.",146109833
14610983,4,"Co-founder of ""Otaku Chem Lab"" Channel on Bilibili""; Create videos of fun chemistry experiments and upload them to popular video sites Bilibili.com, featured 6 times on front page with over 73k views.",146109834
14657354,5,President of my badminton club; I founded a badminton club and had about twenty members. We practiced badminton and held competitions on every Monday and Wednesday.     .,146573545
14657354,7,"Founder of a math club called ""Match your teacher""""; I founded a club to do review sessions after classes. Also, we sometimes provided interesting math problems to expand horizon. .",146573547
14657354,9,"Founder of a wood cut display in our school; Being a wood cut lover myself, I invited other wood cut lovers to bring their works and had a display to publicize wood cut to more students.",146573549
14663196,1,Founder and President. Billionaire Project; Campaign (successfully) to switch school's wooden chopsticks to biodegradable flame grass chopsticks; raise organic lettuce&sell at farmer's market.,146631961
14663869,5,"President of Science Club; Founded science club at my high school for students interested in all areas of science, our goal is to compete in the Science Olympiad this Spring.",146638695
14697319,1,"Founder of Jugnoo Foundation; My work had me featured on BBCs list of Top 100 Women of 2014, Jugnoo provides solutions to harmful impacts of climate change on women in Pakistan.",146973191
14697934,4,"Co-President of DECA; Co-founded school's inaugural chapter, recruit participants, lead weekly meetings, fundraise and collaborate with other business groups.",146979344
14740027,7,"TCIS Travel Club President; Founded the TCIS Travel Club and works as a president, conducting student organized trips.",147400277
14808423,1,"Co-Founder, Support for Education in Pakistan; Founded a supporting group for children's education in Pakistan; organized fundraising project every summer; collected $1000 each year for donation.",148084231
14821656,1,Co-founder of Chobernard; Recruit and manage six members: develop an online platform to generate unbiased user rating for original music; create Indiegogo crowd funding plan.,148216561
14821656,2,Co-founder of Our Herstory; Research on and compose the modern history of Chinese Feminism Wave with college undergrads; manage high school members to compile information.,148216562
14830453,6,Aspiring Medical Leaders; founding member of the club and president.,148304536
14882587,8,Founder-Innovation For Ghana's Next Generation; Provide support and aid to underprivileged children. In 2 years we have donated GHC3000 and books to orphanages and juvenile correction centers.,148825878
14882617,9,"Founding Member/Captain of High School Debate Team; Even though newly formed, I led my team to rank at the upper levels in state and regional tournaments.",148826179
14902528,3,"Founder, Writer, and Editor of ""MMT HBT News""""; ""MMT HBT News"" newsletter chronicles the life-changing events occurring at the Methadone Clinic in Vietnam's Hai Ba Trung district."".",149025283
14902528,8,President and Founder of AMVNX Student Council; Formed an organization to encourage cross-cultural education amongst Vietnamese and American students.,149025288
14910319,2,"Founder and Lead Vocalist- School Choir Group; Founded the senior school choir; sang at various school events (solo and duet), represented the school at Epicenter, Gurgaon on Independence Day.",149103192
14910319,7,Co-Head and Founder- Enviro Change- NGO; Planned and initiated the project 'BirdBath' wherein installed birdbaths using recycled waste; raised funds by selling cookies.,149103197
14910796,2,"DECA Co-Founder/President; Founded the first DECA club in Kuwait and first business club at ASK, grew to 45 members, received 2 medals and a perfect score (A&A div.).",149107962
14912362,1,"Sisterhood of Salaam Shalom; Founding member of local chapter; work with Muslim and Jewish women, build bonds among the two groups, promote sense of community and understanding.",149123621
14912362,6,"Fashion Club, Co-president and Founder; Expose students to fashion, study upcoming fashion trends, organized clothing drive for Dress for Success, created costumes for large talent show.",149123626
14934403,1,"Co-founder&Secretary, MD International Youth Forum; Marketed the event & hosted 300+ participants; arranged detailed forums; recruited 15 staff members; provided internships for freshmen.",149344031
14934403,4,"Founder & Secretary, Campus Volunteer Center; Recruited 300+ members; promoted community services inside campus; provided outside-campus community services  opportunities to members;.",149344034
14968416,9,Founder of the group; Formed to help build a strong foundation in Mathematics & Science for High School Freshmen in my community.,149684169
14984075,3,Founder & Editor in Chief/Newspaper Club; Led the team and published the school newspaper on a monthly basis. Coordinated the SPPS Spelling Bee Contests. Awarded the Best Club of the Year.,149840753
14984842,1,"Founder, president, main editor of HOPE magazine; I created the HOPE magazine. It stands for Honest, Optimistic, Passionate and Enlightened. I led a team of 12 students to publish it every 2 months.",149848421
14993343,1,"Co-founder  - Save Rhino Campaign; Organized a walkathon to prevent poaching of one-horned rhinos found in Kaziranga National Park, Assam. It was attended by 5000 people and Rotary Club.",149933431
15006598,7,"Founder member - Youth Council Paraguay; I supported community service activities and conferences on topics like youth, environment, education, and leadership.",150065987
15007992,4,"Key Club Founder/President; I wrote the charter to make Key Club official at my high school. I have since served for two years as President, coordinating community service.",150079924
15020587,1,"Vice-President/Founder, Fanlyc; Fanlyc is an organization that brings emotional and psychological support to kids with cancer.",150205871
15020587,2,"Leader/Founder, Prison Project; Collect funds to buy hygiene materials for the inmates of a local prison. We visit the prison and do activities with the prisoners.",150205872
15037324,1,"Co-President and Co-founder, Amnesty International; Challenged the school board's restrictions on student-initiated clubs, volunteer and raise money for local charities, and spread political awareness.",150373241
15037324,2,Co-President and Co-founder Model United Nations; Established a political club to provide opportunities to students in a largely STEM based school and have been competing and training successfully.,150373242
15037324,6,Founder of a political campaign; The campaign's objective is to create an wildlife bridge to current roads to create safer enviornment both for drivers and wildlife.,150373246
15037324,7,Founder and CEO of a business; The business is currently in sketch stage but aims at lowering ticket prices for flights while increasing the profit margins for airline companies.,150373247
15053971,3,Red Cross Club; Treasurer(12);Secretary(11);VP(10); Founded club; Raised $4000 to purchase & distribute survival kits; Coordinate annual school blood drive; Educate local public about disaster planning.,150539713
15053971,4,"Country Club;Secretary(12);Treasurer(10,11); Co-founded club to aid third world countries; Head of fundraising; Raised $2500 to ship care packages to refugees; Increased club membership by 40%.",150539714
15058121,1,"Founding Member, WiSTEM; Promote intrest in STEM fields for female students at Brookline High School; founded the Science Center where students can be tutored.",150581211
15062006,2,"STEM Club Founder and President; Led a 1st year team to the semi-finals of an international competition: Conrad Spirit of Innovation. Started with 5 people, which grew to 30 in a year.",150620062
15064636,7,Founder; Founder of a Medical Tourism Agency and handled communication & management.,150646367
15068245,3,"Youth Delegate, IntegrateNYC4Me; I am a founding member of and district representative to the NYC Youth Council for School Integration, lobbying for a more equitable education system.",150682453
15089589,1,Founder of WeChat Official Account MagnifyingWorld; Started by my own; wrote about the local and global affairs once a month; ten bilingual articles received over 200 clicks and 100 followers.,150895891
15096088,2,"Co-Founder of Korean Culture Club; Face-timed Korean Penpals; learned Hangul, the written language; celebrated Chuseok, the Korean Thanksgiving.",150960882
15097928,3,The Investment Club; Co-Founder.,150979283
15104246,3,"Executive Organizer/Founder.MuslimAwarenessFairATL; Annual Muslim Awareness Fair, sparks a dialogue with the ""unknown"" to battle Islamophobia in my Atlanta community. Hosted 150 people."".",151042463
15113704,1,"TEDx IEL Club Founder, TEDx Youth@IEL Organizer; I was the organizer of the first TEDx conference in our high school, in the following year, I continued as an advisor.",151137041
15113704,2,"Executive Editor and Founding Member of ""Dirim""""; We published a school magazine with various topics. As executive editor I oversaw the entire publication process.",151137042
15121039,1,"Founder/President of i-transparent.org; Developed water collection and testing kit, distributed to hundreds of collection sites across China. Tested heavy metal contamination of tap water.",151210391
15124675,2,President and Founder of Habitat for Humanity Club; H4H raises awareness and funds for the necessity of affordable and stable housing in order to promote prosperity in communities around the world.,151246752
15128089,2,"Co-founder,Biology Club; Organized a club to discuss biology articles and other topics in the science; collected and cataloged the leaf samples on the mountain near our school.",151280892
15128089,3,"Founder,The Super Science Club; Organized discussions of supernatural science cases like Bunshinsaba and out-of-body experiences; used bio, phys or chem to explain those phenomena.",151280893
15143368,3,"Co-founder/VP of Young Libertarians Club at HS; Weekly meetings held to discuss Libertarian political ideals, current events, and solutions to current national issues.",151433683
15174547,4,"Council leader of youth empowerment club; Founded club at school, held several meetings throughout school year and designed research and community service based social welfare projects.",151745474
15200397,5,"co-founder of Alpine 4 Quartet; With 3 of my friends, I helped form Alpine 4 Quartet which played at both private and public functions- some paid and other donated time.",152003975
15200397,8,Co-founder of high school Chamber Orchestra; My school did not have a chamber orchestra so I worked with my teacher to create a schedule and pick music. I was one of 2 students that ran auditions.,152003978
