hondet,commonactid
"Ayala SAT Club - Founder & President; Founded club to help students prepare for SAT, esp. those who cannot afford expensive SAT prep classes. Promote program and teach math and English.",143985632
"Founder of Vera Studio; Started and managed the film club. Developed strategy and promotion plans. Directed 1 short film, 3 documentary episodes, recruited 40 members.",144180721
"President/Chapter Founder of Red Cross Club; As president of Vegas's very first community based club, I volunteer my time promoting disaster relief, and educating locals on disease prevention.",144352397
"President/Founder - Science National Honor Society; As president and chapter founder of  Science National Honor Society, I promote STEM careers and recognize faculty of scientific understandi.",144352392
"Founding Member/Exec. Sales Rep. of Give Me S'more; As the executive sales representative of Give Me S'more, I demonstrate an enterprising mentality and help to promote our company's product.",144352398
"Fashion Club, Founder & President; Launch club, recruit new members, coordinate all activities like competing in Vans Custom Culture competition for members to gain design experience.",144444441
"Founder and Head of JAZBA; I help poor students of a slum near my home in their daily homework, host small activities for them and raise funds to improve their school conditions.",144464585
"President and co-Founder, Melody Club; Organized concerts with club members, and held them at our school or retirement homes for donations.",144527427
"Model United Nations, founding member, President; Participated in numerous mock United Nations conferences, representing the foreign and domestic policies of numerous countries.",1446068310
"Born Ballers founder and head coach.; Trained 22 11-15 year old, under-priveleged children to play basketball and speak English. I designed the jerseys and program, hired 4 coaches.",144722591
"Mu Alpha Theta Founding Member; Tournaments, Competitions, Math Puzzles.",144792731
"Drumline, co-captain and founding member; Member of the Trinity Prep drumline, snare drum.",144845113
Editor-in-chief and Founder of Teen Newton; Developed an online science journal that publishes articles on the latest research and innovations; manages writers and provides original content.,144850201
"Co-Founder of 3C English; Redesigned curriculum, prepared teaching methods to cultivate critical thinking skills and active learning in students, piloted with 25 students.",144852703
MeeTriam Founder; Organized the first school's open house to provide guidance and mentorship for 9th graders on the admission process to selective high school.,144852705
"Co-Founder of Railroad Community Service Project; Educated community of people close to railroad in personal finance including budgeting financial expenses, loan sources and the danger of shark loans.",144852702
Ambassador and Co-Founder of CREATE; Non-profit that strives to implement art programs at low-income schools around FL and DC through art lessons.,144857677
Founder/President Bishop Manogue Italian Club; Newly established club providing Italian language instruction and cultural enrichment opportunities to dozens of Manogue students.,144908033
"Co Founder/President of Political Debate Club; Co founded with one other student, this club tries to engage students in organized debate regarding current politics.",144934671
Founder and President; AP CAPSTONE Society: I have started a branch of HHS Honors Academy for Seminar and Research students to advise each other in their extended research.,144936665
"Director, Founder, Youth Assisting Youth; Founded outside of school to promote youth engagement and to provide opportunities for rural kids.Has over 20 members and reached over 300 kids.",144948821
Founder and President of Amnesty International; We raised awareness for a variety of domestic and international human rights issues in our school while also raising money and resources.,144948826
Founder; Talking With The World is a program I founded that encourages young students to learn a different language.,145003454
"Founder/President, Full Moon Gloves; Built a business that deals in rare baseball gloves. The site, www.fullmoongloves.com, attracts  10,000 monthly visitors and is profitable.",145047254
"Founder, Cleveland Academy of Leadership Book Driv; Founded the Cleveland Academy of Leadership (CAL) Book Drive, donated +280 books to CAL, a Title One School with underserved minorities.",145208581
"Founder of Harmon Charity Organization; Under my lead, recruiting more than a hundred members, Harmon gathered more than 12,000 USD and improved the lives of 107 elderly.",145250561
Co-founder & President of Youth For Change In.; This is a youth group that promotes youth leadership through community service and advocacy.,145289534
Founder of Grassroot International Organization; Founded the 1st international student-based organization with an Indian girl; led 15 foreign students to do voluntary teaching in rural Shaoguan.,145382625
Co-founder/Vice Director of School's TV station; Co-directed video projects and bilingual broadcast on all school's grand festivals and events since Grade 7; expanded the club from 6 to 120 members.,145382624
"Founder/Manager of a Wechat Sharing Platform; Founded the 1st wechat platform(most frequently-used social-networking app in China) for school's 112 clubs, including latest news & everyday reports.",145382627
Hamilton Politics Club: Founder and President; Discuss current politics and events through a political scope while bringing people together from across the political spectrum.,145544953
"Founder, Charity eSports League; Founded an eSports organization to promote competitive gaming in the Middle East and benefit the Red Crescent Society.",145568401
Entrepreneurship Club Co-VP; Co-founded Entrepreneurship Club through MIT Launch to teach students develop their entrepreneurial spirit and start their own companies.,145633948
"Co-founder of ""Otaku Chem Lab"" Channel on Bilibili""; Create videos of fun chemistry experiments and upload them to popular video sites Bilibili.com, featured 6 times on front page with over 73k views.",146109834
"Co-founder of ""Chemistry & Life Club"" (5-star)""; Membership 94, we organized workshops on lab safety and biweekly chemistry experiment shows to kindle students' interest in science.",146109833
"Founder of a wood cut display in our school; Being a wood cut lover myself, I invited other wood cut lovers to bring their works and had a display to publicize wood cut to more students.",146573549
"Founder of a math club called ""Match your teacher""""; I founded a club to do review sessions after classes. Also, we sometimes provided interesting math problems to expand horizon. .",146573547
President of my badminton club; I founded a badminton club and had about twenty members. We practiced badminton and held competitions on every Monday and Wednesday.     .,146573545
Founder and President. Billionaire Project; Campaign (successfully) to switch school's wooden chopsticks to biodegradable flame grass chopsticks; raise organic lettuce&sell at farmer's market.,146631961
"President of Science Club; Founded science club at my high school for students interested in all areas of science, our goal is to compete in the Science Olympiad this Spring.",146638695
"Founder of Jugnoo Foundation; My work had me featured on BBCs list of Top 100 Women of 2014, Jugnoo provides solutions to harmful impacts of climate change on women in Pakistan.",146973191
"Co-President of DECA; Co-founded school's inaugural chapter, recruit participants, lead weekly meetings, fundraise and collaborate with other business groups.",146979344
"TCIS Travel Club President; Founded the TCIS Travel Club and works as a president, conducting student organized trips.",147400277
"Co-Founder, Support for Education in Pakistan; Founded a supporting group for children's education in Pakistan; organized fundraising project every summer; collected $1000 each year for donation.",148084231
Co-founder of Chobernard; Recruit and manage six members: develop an online platform to generate unbiased user rating for original music; create Indiegogo crowd funding plan.,148216561
Co-founder of Our Herstory; Research on and compose the modern history of Chinese Feminism Wave with college undergrads; manage high school members to compile information.,148216562
Aspiring Medical Leaders; founding member of the club and president.,148304536
Founder-Innovation For Ghana's Next Generation; Provide support and aid to underprivileged children. In 2 years we have donated GHC3000 and books to orphanages and juvenile correction centers.,148825878
"Founding Member/Captain of High School Debate Team; Even though newly formed, I led my team to rank at the upper levels in state and regional tournaments.",148826179
President and Founder of AMVNX Student Council; Formed an organization to encourage cross-cultural education amongst Vietnamese and American students.,149025288
"Founder, Writer, and Editor of ""MMT HBT News""""; ""MMT HBT News"" newsletter chronicles the life-changing events occurring at the Methadone Clinic in Vietnam's Hai Ba Trung district."".",149025283
Co-Head and Founder- Enviro Change- NGO; Planned and initiated the project 'BirdBath' wherein installed birdbaths using recycled waste; raised funds by selling cookies.,149103197
"Founder and Lead Vocalist- School Choir Group; Founded the senior school choir; sang at various school events (solo and duet), represented the school at Epicenter, Gurgaon on Independence Day.",149103192
"DECA Co-Founder/President; Founded the first DECA club in Kuwait and first business club at ASK, grew to 45 members, received 2 medals and a perfect score (A&A div.).",149107962
"Sisterhood of Salaam Shalom; Founding member of local chapter; work with Muslim and Jewish women, build bonds among the two groups, promote sense of community and understanding.",149123621
"Fashion Club, Co-president and Founder; Expose students to fashion, study upcoming fashion trends, organized clothing drive for Dress for Success, created costumes for large talent show.",149123626
"Founder & Secretary, Campus Volunteer Center; Recruited 300+ members; promoted community services inside campus; provided outside-campus community services  opportunities to members;.",149344034
"Co-founder&Secretary, MD International Youth Forum; Marketed the event & hosted 300+ participants; arranged detailed forums; recruited 15 staff members; provided internships for freshmen.",149344031
Founder of the group; Formed to help build a strong foundation in Mathematics & Science for High School Freshmen in my community.,149684169
Founder & Editor in Chief/Newspaper Club; Led the team and published the school newspaper on a monthly basis. Coordinated the SPPS Spelling Bee Contests. Awarded the Best Club of the Year.,149840753
"Founder, president, main editor of HOPE magazine; I created the HOPE magazine. It stands for Honest, Optimistic, Passionate and Enlightened. I led a team of 12 students to publish it every 2 months.",149848421
"Co-founder  - Save Rhino Campaign; Organized a walkathon to prevent poaching of one-horned rhinos found in Kaziranga National Park, Assam. It was attended by 5000 people and Rotary Club.",149933431
Co-founder - Gear; Startup responsible for Gear OS and Gear RistÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂ projects. We obtained the prize for best project and business plan of Paraguay Emprende's contest.,150065985
"Founder member - Youth Council Paraguay; I supported community service activities and conferences on topics like youth, environment, education, and leadership.",150065987
"Key Club Founder/President; I wrote the charter to make Key Club official at my high school. I have since served for two years as President, coordinating community service.",150079924
"Vice-President/Founder, Fanlyc; Fanlyc is an organization that brings emotional and psychological support to kids with cancer.",150205871
"Leader/Founder, Prison Project; Collect funds to buy hygiene materials for the inmates of a local prison. We visit the prison and do activities with the prisoners.",150205872
Founder of a political campaign; The campaign's objective is to create an wildlife bridge to current roads to create safer enviornment both for drivers and wildlife.,150373246
"Co-President and Co-founder, Amnesty International; Challenged the school board's restrictions on student-initiated clubs, volunteer and raise money for local charities, and spread political awareness.",150373241
"Founder of various blogs; Created blogs condensing entrepreneurial books, posting political and business internship opportunities for other students.",1503732410
Founder and CEO of a business; The business is currently in sketch stage but aims at lowering ticket prices for flights while increasing the profit margins for airline companies.,150373247
Co-President and Co-founder Model United Nations; Established a political club to provide opportunities to students in a largely STEM based school and have been competing and training successfully.,150373242
"Country Club;Secretary(12);Treasurer(10,11); Co-founded club to aid third world countries; Head of fundraising; Raised $2500 to ship care packages to refugees; Increased club membership by 40%.",150539714
Red Cross Club; Treasurer(12);Secretary(11);VP(10); Founded club; Raised $4000 to purchase & distribute survival kits; Coordinate annual school blood drive; Educate local public about disaster planning.,150539713
"Founding Member, WiSTEM; Promote intrest in STEM fields for female students at Brookline High School; founded the Science Center where students can be tutored.",150581211
"STEM Club Founder and President; Led a 1st year team to the semi-finals of an international competition: Conrad Spirit of Innovation. Started with 5 people, which grew to 30 in a year.",150620062
Founder; Founder of a Medical Tourism Agency and handled communication & management.,150646367
"Youth Delegate, IntegrateNYC4Me; I am a founding member of and district representative to the NYC Youth Council for School Integration, lobbying for a more equitable education system.",150682453
Founder of WeChat Official Account MagnifyingWorld; Started by my own; wrote about the local and global affairs once a month; ten bilingual articles received over 200 clicks and 100 followers.,150895891
"Co-Founder of Korean Culture Club; Face-timed Korean Penpals; learned Hangul, the written language; celebrated Chuseok, the Korean Thanksgiving.",150960882
The Investment Club; Co-Founder.,150979283
"Executive Organizer/Founder.MuslimAwarenessFairATL; Annual Muslim Awareness Fair, sparks a dialogue with the ""unknown"" to battle Islamophobia in my Atlanta community. Hosted 150 people."".",151042463
"Executive Editor and Founding Member of ""Dirim""""; We published a school magazine with various topics. As executive editor I oversaw the entire publication process.",151137042
"TEDx IEL Club Founder, TEDx Youth@IEL Organizer; I was the organizer of the first TEDx conference in our high school, in the following year, I continued as an advisor.",151137041
"Founder/President of i-transparent.org; Developed water collection and testing kit, distributed to hundreds of collection sites across China. Tested heavy metal contamination of tap water.",151210391
President and Founder of Habitat for Humanity Club; H4H raises awareness and funds for the necessity of affordable and stable housing in order to promote prosperity in communities around the world.,151246752
"Co-founder,Biology Club; Organized a club to discuss biology articles and other topics in the science; collected and cataloged the leaf samples on the mountain near our school.",151280892
"Founder,The Super Science Club; Organized discussions of supernatural science cases like Bunshinsaba and out-of-body experiences; used bio, phys or chem to explain those phenomena.",151280893
"Co-founder/VP of Young Libertarians Club at HS; Weekly meetings held to discuss Libertarian political ideals, current events, and solutions to current national issues.",151433683
"Council leader of youth empowerment club; Founded club at school, held several meetings throughout school year and designed research and community service based social welfare projects.",151745474
"co-founder of Alpine 4 Quartet; With 3 of my friends, I helped form Alpine 4 Quartet which played at both private and public functions- some paid and other donated time.",152003975
Co-founder of high school Chamber Orchestra; My school did not have a chamber orchestra so I worked with my teacher to create a schedule and pick music. I was one of 2 students that ran auditions.,152003978
Youth Group Praise Team Founder; I am the founder and president of the youth group praise team at the Korean Presbyterian Church. I select the pieces and organize the rehearsals.,152273956
Origami Club Founder and President; I was the first to develop this club at my school. I instructed 13 students about intricate masterpieces made from a Korean paper called hanji.,152273955
Founder of Outdoor Club at SCIE; Enthusiastically organized outdoor activities such as cycling and hiking; negotiated with sponsors about possible cooperation.,152297966
"Co-Founder of ECA Union at SCIE; Led a group of 11 people to search for possible sponsors; raised over 20,000 RMB to fund 40 student-led clubs at SCIE.",152297965
"Founder, Embroidery Club; A gathering of art students for informal embroidery and learning of skills. I was the one who suggested the club be created.",152312139
"Founder, NFLS-Xianlin Swimming Club; Came 2nd place in the 19th  Swimming Competition of Nanjing youth group; Provided training for new members.",152333298
"Leadership Club- Founder, President, Secretary; Develop plan to address an unserved community need, unify efforts of clubs at school events to promote school spirit, encourage leadership in students.",152339483
Founder of School Badminton Team; Teach badminton activities.,152351076
"Singer; I have sung competitively for 10 years, garnering numerous awards. I'm also a co-founder and charter member of my school's elite acapella group.",152356477
"Best Buddies Chapter President; I founded my school's chapter of Best Buddies, which is an organization that helps students with Intellectual and Developmental Disabilities.",152356473
"Investment Club, Founder; Initiated and organized new club.  Procure speakers; compete in Economics Wisconsin competition; discuss investing strategies.",152356711
"Tome Traders, Co-founder; Collected >2000 books; donated to Boys & Girls Clubs in LV to promote joy of reading; created a commercial; won Yale Day Service Award 2016.",152363805
President and Founder of Young Democrats; Brought charter to school; initiated CHS's first debate with Teenage Republicans; Rep. CHS for greater political activism at Sun Youth Forum in LV.,152363809
"Dance (9-10; Jr. Captain-11); Founder, Coed; Cougar Spirit Team (Dance, Cheer & Colorguard); 1st place - LV; 2x Most Committed Dancer Award; Started Coed team 12th; Showcased 1st Bollywood dance.",152363806
"Founder and President, Junior States of America; 6 month effort to obtain charter and sponsor, recruited officers and members, JSA helps students become active, informed citizens (jsa.org).",152438601
Founder of Symphony World - Online Platform; Platform to help upcoming musicians build a credible virtual profile & an audience.150 musicians featured; 2300 followers in first month of existence.,152440492
Founder/Baquare;online marketplace;bakery products; Developing a platform; revolutionizing the industry by encouraging locally estd. high-segment brands to retail online.,152440496
"Intern at Clues Network (P) Ltd.; Shopclues.com - an online marketplace for SMEs.Worked under co-founder & Chief Business Officer, Mrs.Radhika Agarwal, learned core-skills in marketing.",152440499
"Founder, CEO, CFO; Co-Founded and established Search Engine Optimization company and developed business plan along with acquiring a stable client base.",152517941
"Co-founder, Ceiling Buddies Club; Painted ceiling tiles for Boston Children's Hospital (9th), launched WHS club (11th), launched new chapters at 3 other local high schools.",152710121
"Founder of Math Club; I establish the club, recruit members, prepare problem sets and lectures, ask for funding, buy food, petition for competition opportunities.",152764221
"Captain/ Coach/ Co-founder/ Starting Point Guard; Organized practices, coached innovative concepts, communicated with league officials, holder of single-game scoring (30) and blocks records (4).",152765224
"Co-founder of student rap group, The Tic Tac Squad; Released three mixtapes + 1 R&B EP. Over 60 total songs composed. Received collaboration offer from LA rapper Benny Troung. 400+ plays on Soundcloud.",152765227
Founder of H.E.A.R.T.S.; This is a non-profit org. that helps disabled children express creativity through art. My school nominated me for the Silver Knight Award.,152822701
"Co-Founder, Greatest Generation Karaoke Company; Share the joy of music through karaoke sing-alongs with the elderly in assisted living facilities, senior centers, and nursing homes.",152848216
"Everlasting Hair Co, Founder; Created a business to sell hair extensions, package orders, keep website updated, order products, buy and apply shipping labels for orders.",152886339
"Founder/Volunteer, The Fairy Godmother Project; Founded local chapter of this national organization; collect prom dresses and accessories for young women who are unable to purchase their own dresses.",152941575
"Founder, Buho App; Developed an app to prevent sexual assault and create awareness on college campuses in partnership with Children's Hospital Boston.",152941571
"Founder of Psychology Club; Plan club mission and strategy, lead weekly meetings and Harkness, organize forum with Principal as a panelist, social experiments, and lab trips.",153188011
"Founder/Lead Interviewer, Humans of Plano Senior; Interviewing students and faculty of Plano Senior, giving their stories a voice. Managing social media with over 500 followers.",153293625
Founder and President of Pure Heart Foundation Inc; Fundraise and donate books to rural Chinese children; Pure Heart Project every summer aims to give the children a transformative learning experience.,153332871
Red Nose Society Club; Founded a club that works with RMH at WakeMed Raleigh w/ service/donations. Outreach to local schools to inform kids of field of medicine.,1533470710
"Founder&President of the Ocean Society, RDFZ; Led 150+members to hold forums on marine sci-tech & environment; initiated ocean protection events; Founded Beijing High School Ocean Society Alliance.",153361681
"Poverty Slam Service Project (Founder); Founded and run foundation that raises money for soup kitchens through sponsored walking. Raised over $17,000. Run website and newsletter.",153400017
"Bundits: Founder; Construct business plan, caters lunch, manage eye-catching social media account, donate profit to places with no access to clean water.",153452392
"Healthy Jar: Founder; Manage financial datas, cook for healthy snacks, organize trips to villages to support underprivileged families with hygiene kits.",153452391
"Belajar Bersama: Founder; Teach underprivileged kids English, importance of literacy in foreign language, recruit members from other culture for an intercultural perspective.",153452395
"President & Founder of the JDA Finance Club; Responsible for organizing the club's weekly meetings, speaker series, competitions, and research objectives. Led club to investment competition win.",153469541
"President & Founder of the JDA Sports Club; There are no sports teams at my school, so I created this club to formalize athletics; members set personal goals and commit to a practice plan.",153469546
"The Co-Founder of House Chef, a B2B2C Startup.; Deducing price to be the barrier between people and gourmet food, we delivered signature dish ingredients and recipes to our budding house-chefs.",153470471
"Vice President of MUN Club&Experienced Delegate; Founded the club in order to educate other students on global issues which affect our community, teach them how to act together to improve situation.",153551099
I founded a writing club and lead weekly meetings.; The club facilitated yearly poetry slams at our high school. The shows also inculded young poets from our local youth shelter.,153555043
"Westwood HS National Sci. Bowl Club Founder, Pres.; Started high school team after winning 9th in nation in 8th grade; Balanced interests of the school and students; Led team to regional quarterfinals.",153557213
Co-President & Co-Founder - AHS Law & Society Club; Co-founded Law & Society Club. Invited guest Alpharetta police explorer to speak for members on recent events; hosted discussions and debates.,153563907
Answer to Cancer - Co-Founder and President; Implement fundraisers for cancer organizations; raise awareness through volunteering; raised over $800 dollars for the Ulman Cancer Foundation.,153587155
"Founder/President of Investigative Medicine Club; Worked w/ Palo Alto City Council, scientists, and other activists to address local groundwater contamination; shipped medical supplies to Burkina Faso.",153608781
Founder- Native American Disease Awareness Program; Founded an organization to teach disease diagnostic procedures to Native American youth in the Shinnecock Tribe.,153677403
"Women in STEM; President and founder; Bring in guest speakers, raise funds for Women's Global Education Project, hold STEM activities for elementary and middle school girls.",153804741
"Founder/President - Junior Statesmen of America; Debate, public speaking, current events, int'l relations program at Georgetown, went to Rep Nat'l Conv; created chapter constitution, moderator.",153891851
"Founder/president, China Care Club, LCSS; Various Chinese cultural related activies in high school: offering free Chinese lessons, introducing Chinese culture, and hosting Chinese food sales.",153940646
Co-Founder; Letter to Soldiers Club.,153948196
"President and Co-Founder of Global Awareness Club; I started and ran a club at my school that focuses on political debate, current events and organizing community service projects.",153950742
Founder 'A Tale of Two Countries'; Social media publicity page aimed at reducing tension and hostility between Pakistani and Indian citizens.,154052138
Co-Founder/ PR Head of MSJ Political Science Club; The club helps expose students to politics. Personally invited local politicians to visit & hold speaking sessions. Club membership currently at 200.,154160796
Founder of Clash & Crash; Founded this media project and recruited students; interviewed people about cultural conflicts and diversity; edited and posted videos.,154257851
"Founder, Tips Of Tech; I ran a technology blog with over a thousand daily users.",154279133
"Abstract Mart; I have co-founded Abstract Mart to help promote digital artwork in Bangladesh. It has over 300 active artists, more than 5000 users.",154279131
